Question,Label
"Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis
Write a poem about the story.,Synthesis
Write 5 new titles for the story that would give a good idea of what it was about,Synthesis
Write another ending to the story that is different from the author’s ending.,Synthesis
Write a JAVA program to show the Overloading concept,Synthesis
Write a program that uses nested loops to print the following output:,Synthesis
"Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",Synthesis
Create an advertising campaign,Synthesis
Construct an alternative way to ...,Synthesis
Devise a different way of using ,Synthesis
Merge the different ideas into a single solution.,Synthesis
Can you defend your position about ... ?,Evaluation 
Can you assess the value or importance of . . . ?,Evaluation 
What limitation does X have? ,Evaluation 
Develop a proof ... and justify each step ... ,Evaluation 
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",Evaluation 
How would you justify . . . ?,Evaluation 
Judge the value of... What do you think about...?,Evaluation 
Judge how well a project meets the criteria of a rubric.,Evaluation 
Judge the validity of arguments for and against astrology,Evaluation 
Justify the concept of inheritance and give the sample of code to illustrate your answer.,Evaluation 
Justify the object oriented programming concept,Evaluation 
"Prepare a case to present, and evaluate your view about ...",Evaluation 
Prepare a list of criteria to judge ... Evaluate expressions,Evaluation 
Rate the following recommendations and set the priority _____.,Evaluation 
What data was used to evaluate ____________?,Evaluation 
What judgments can you make about...? ,Evaluation 
What criteria would you use to assess...? ,Evaluation 
What criteria would you use to evaluate if your answer is correct?,Evaluation 
What would you cite to defend the actions . . . ? ,Evaluation 
Outline how class ArrayList could be implemented using an array,Evaluation 
Can you justify the decisions you have made ? ,Evaluation 
How would you rank the items given the criteria ?,Evaluation 
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",Evaluation 
What criticisms could you make ?,Evaluation 
